Leuchtdichte,Farbort_x,Farbort_y,Rod_Signal,S_Signal,M_Signal,L_Signal,Melanopsin_Signal,f_p,f_s,P_0,tp,ts,Delta_tp,Delta_ts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,Spektrum
0,0,0,1,1,1,1,1,1,0,1,1,0.608496547837114,1,0,0.0533276427702072,0.955612772344531,0.0369837623941816,0.968404249199722,0.0283103474007722,0.97382503831516,0.0218253512232855,0.994122699552,0,0,Quasi_450nm
0.886363636363642,0.0509930220075148,1,0.0985166564452322,0.00119233577654334,0.312365415986949,0,0.0576493256262042,0,0.369429771095761,0,0,0.213400028180922,0,1,0.278701784762407,0.729079941013183,0.263769642028934,0.742083589193276,0.253979115364892,0.747976088054429,0.250199454624136,0.759412416079551,0.209600776251468,1,Quasi_530nm
0.977272727272716,0.932045088566828,0.417577375490114,0.00134114205996725,0,0.0510059815116911,0.37189972737549,0,0.706070937372876,0.462549099282135,1,0.959773078906653,0.722488375369875,1,0,0.672858851615603,0.312558628670502,0.710048669429895,0.257536468584053,0.785439985304997,0.162558300819644,0.894478316036637,0.0394093016043103,1,0.113695319022809,Quasi_610nm
0.545454545454537,1,0.361349795611913,0,0.000231072824911499,0,0.408005851452889,0.000214698596201486,0.776761327315344,1,1,0.870809695719443,1,1,0,0.031141725749405,0.92084134995453,0.137289748323039,0.7929509910859,0.289720720979654,0.613951707686117,0.497027525003523,0.36554679263117,0.806835473542892,0.0872208760267637,Quasi_660nm
1,0.67085346215781,0.560078974444537,0.0418045437084263,0.00193484978725895,0.171723762914628,0.199414854711084,0.0246958436553812,0.291231621564032,0.244169036976839,1,0.778236204228984,0.619346202620826,1,0,1,0,1,0,1,0,1,0,0.887416368389102,0.35404693334676,Poly2000K
0.840909090909073,0.335068885310431,0.458413281054476,0.0905911134174861,0.019579570697501,0.252180532898314,0.156991821264712,0.0670079823837049,0,0.255668427468509,0,0,0,0,1,0,1,0,1,0,1,0,1,0.041569235326375,0.848391619194645,Poly_5000K
0.227272727272716,0.227911969940955,0.357109090403493,0.116173903666912,0.0368761418848764,0.280108754758021,0.161513398497241,0.0914120561519405,0.0599587393216202,0.313490451036164,0,0,0.378751585176835,0,1,0.216577788421696,0.790957566653649,0.202268235599733,0.803566874377723,0.191085745718249,0.816067336311691,0.167751285894263,0.87779768313377,0.0389731293203317,0.907502965380334,Poly_10000K
